@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
3603,'2018/02/18 21:58:51:602',14,0,0,0,64.77,0
3604,'2018/02/18 21:58:51:605',14,0,0,0,64.77,0
3605,'2018/02/18 21:58:51:635',14,0,0,0,64.77,0
3606,'2018/02/18 21:58:51:638',14,0,0,0,64.77,0
3607,'2018/02/18 21:58:51:667',14,0,0,0,64.77,0
3608,'2018/02/18 21:58:51:671',14,0,0,0,64.77,0
3609,'2018/02/18 21:58:51:700',14,0,0,0,64.77,0
3610,'2018/02/18 21:58:51:729',14,0,0,0,64.77,0
3611,'2018/02/18 21:58:51:730',14,0,0,0,64.77,0
3612,'2018/02/18 21:58:51:762',14,0,0,0,64.77,0
3613,'2018/02/18 21:58:51:763',14,0,0,0,64.77,0
3614,'2018/02/18 21:58:51:793',14,0,0,0,64.77,0
3615,'2018/02/18 21:58:51:807',14,0,0,0,64.77,0
3616,'2018/02/18 21:58:51:835',14,0,0,0,64.77,0
3617,'2018/02/18 21:58:51:837',14,0,0,0,64.77,0
3618,'2018/02/18 21:58:51:865',14,0,0,0,64.77,0
3619,'2018/02/18 21:58:51:894',14,0,0,0,64.77,0
3620,'2018/02/18 21:58:51:909',14,0,0,0,64.77,0
3621,'2018/02/18 21:58:51:939',14,0,0,0,64.77,0
3622,'2018/02/18 21:58:51:940',14,0,0,0,64.77,0
3623,'2018/02/18 21:58:51:968',14,0,0,0,64.77,0
3624,'2018/02/18 21:58:51:971',14,0,0,0,64.77,0
3625,'2018/02/18 21:58:52:000',14,0,0,0,64.77,0
3626,'2018/02/18 21:58:52:004',14,0,0,0,64.77,0
3627,'2018/02/18 21:58:52:033',14,0,0,0,64.77,0
3628,'2018/02/18 21:58:52:037',14,0,0,0,64.77,0
3629,'2018/02/18 21:58:52:066',14,0,0,0,64.77,0
3630,'2018/02/18 21:58:52:099',14,0,0,0,64.77,0
3631,'2018/02/18 21:58:52:101',14,0,0,0,64.77,0
3632,'2018/02/18 21:58:52:103',14,0,0,0,64.77,0
3633,'2018/02/18 21:58:52:132',14,0,0,0,64.77,0
3634,'2018/02/18 21:58:52:163',14,0,0,0,64.77,0
3635,'2018/02/18 21:58:52:165',14,0,0,0,64.77,0
3636,'2018/02/18 21:58:52:194',14,0,0,0,64.77,0
